compound: 0.9936, neg: 0.028, neu: 0.832, pos: 0.141, 
compound: 0.8119, neg: 0.053, neu: 0.865, pos: 0.082, 
compound: -0.8625, neg: 0.068, neu: 0.9, pos: 0.032, 
compound: 0.9826, neg: 0.04, neu: 0.849, pos: 0.111, 
compound: 0.6652, neg: 0.046, neu: 0.885, pos: 0.069, 
compound: 0.1566, neg: 0.103, neu: 0.782, pos: 0.116, 
compound: 0.9597, neg: 0.097, neu: 0.747, pos: 0.156, 
compound: -0.7038, neg: 0.088, neu: 0.838, pos: 0.074, 
compound: -0.2023, neg: 0.071, neu: 0.852, pos: 0.076, 
compound: -0.886, neg: 0.11, neu: 0.822, pos: 0.068, 
compound: 0.9185, neg: 0.023, neu: 0.882, pos: 0.095, 
compound: -0.5267, neg: 0.094, neu: 0.84, pos: 0.066, 
compound: 0.3182, neg: 0.084, neu: 0.829, pos: 0.088, 
compound: 0.8832, neg: 0.051, neu: 0.881, pos: 0.068, 
compound: -0.9612, neg: 0.075, neu: 0.891, pos: 0.034, 
compound: 0.3387, neg: 0.055, neu: 0.873, pos: 0.072, 
compound: -0.9355, neg: 0.12, neu: 0.816, pos: 0.064, 
compound: 0.9313, neg: 0.0, neu: 0.906, pos: 0.094, 
compound: 0.9866, neg: 0.0, neu: 0.871, pos: 0.129, 
compound: -0.9451, neg: 0.081, neu: 0.861, pos: 0.058, 
compound: 0.9274, neg: 0.027, neu: 0.907, pos: 0.066, 
compound: 0.3506, neg: 0.1, neu: 0.779, pos: 0.12, 
compound: 0.9892, neg: 0.031, neu: 0.792, pos: 0.177, 
compound: -0.9315, neg: 0.083, neu: 0.869, pos: 0.048, 
compound: -0.5673, neg: 0.089, neu: 0.828, pos: 0.083, 
compound: -0.9313, neg: 0.108, neu: 0.835, pos: 0.056, 
compound: -0.1027, neg: 0.047, neu: 0.91, pos: 0.042, 
compound: -0.9022, neg: 0.165, neu: 0.712, pos: 0.124, 
compound: -0.2516, neg: 0.04, neu: 0.922, pos: 0.038, 
compound: 0.9782, neg: 0.083, neu: 0.774, pos: 0.142, 
compound: 0.9962, neg: 0.012, neu: 0.766, pos: 0.222, 
compound: 0.9384, neg: 0.038, neu: 0.861, pos: 0.101, 
compound: -0.8537, neg: 0.145, neu: 0.752, pos: 0.102, 
compound: 0.8542, neg: 0.034, neu: 0.902, pos: 0.063, 
compound: 0.9735, neg: 0.0, neu: 0.864, pos: 0.136, 
compound: -0.5053, neg: 0.067, neu: 0.894, pos: 0.039, 
compound: -0.965, neg: 0.107, neu: 0.834, pos: 0.059, 
compound: 0.8781, neg: 0.104, neu: 0.746, pos: 0.15, 
compound: 0.9313, neg: 0.016, neu: 0.89, pos: 0.094, 
compound: 0.9823, neg: 0.009, neu: 0.849, pos: 0.142, 
compound: 0.3111, neg: 0.115, neu: 0.764, pos: 0.121, 
compound: 0.8294, neg: 0.067, neu: 0.839, pos: 0.094, 
compound: 0.6652, neg: 0.026, neu: 0.925, pos: 0.049, 
compound: 0.808, neg: 0.1, neu: 0.787, pos: 0.113, 
compound: -0.9764, neg: 0.134, neu: 0.808, pos: 0.058, 
compound: 0.1406, neg: 0.104, neu: 0.803, pos: 0.093, 
compound: 0.895, neg: 0.015, neu: 0.925, pos: 0.06, 
compound: 0.875, neg: 0.058, neu: 0.839, pos: 0.103, 
compound: 0.9827, neg: 0.022, neu: 0.9, pos: 0.078, 
compound: 0.886, neg: 0.083, neu: 0.798, pos: 0.119, 
compound: 0.959, neg: 0.034, neu: 0.877, pos: 0.089, 
compound: 0.9387, neg: 0.057, neu: 0.862, pos: 0.081, 
compound: 0.9412, neg: 0.041, neu: 0.85, pos: 0.109, 
compound: 0.5204, neg: 0.058, neu: 0.865, pos: 0.078, 
compound: 0.9614, neg: 0.055, neu: 0.841, pos: 0.105, 
compound: 0.9779, neg: 0.005, neu: 0.887, pos: 0.108, 
compound: 0.9874, neg: 0.044, neu: 0.833, pos: 0.123, 
compound: 0.8402, neg: 0.016, neu: 0.934, pos: 0.05, 
compound: -0.9837, neg: 0.149, neu: 0.797, pos: 0.054, 
compound: -0.9517, neg: 0.174, neu: 0.808, pos: 0.018, 
compound: -0.5095, neg: 0.056, neu: 0.892, pos: 0.052, 
compound: 0.8667, neg: 0.069, neu: 0.836, pos: 0.095, 
compound: 0.9914, neg: 0.0, neu: 0.865, pos: 0.135, 
compound: -0.1366, neg: 0.062, neu: 0.884, pos: 0.054, 
compound: -0.8068, neg: 0.101, neu: 0.815, pos: 0.085, 
compound: 0.6967, neg: 0.096, neu: 0.789, pos: 0.115, 
compound: 0.1849, neg: 0.078, neu: 0.845, pos: 0.077, 
compound: 0.9295, neg: 0.03, neu: 0.886, pos: 0.084, 
compound: 0.9854, neg: 0.027, neu: 0.889, pos: 0.084, 
compound: 0.7841, neg: 0.065, neu: 0.835, pos: 0.1, 
compound: 0.7502, neg: 0.067, neu: 0.842, pos: 0.091, 
compound: -0.0644, neg: 0.115, neu: 0.777, pos: 0.108, 
compound: 0.4588, neg: 0.097, neu: 0.785, pos: 0.118, 
compound: 0.6956, neg: 0.037, neu: 0.903, pos: 0.06, 
compound: -0.5413, neg: 0.098, neu: 0.814, pos: 0.088, 
compound: -0.9802, neg: 0.144, neu: 0.79, pos: 0.066, 
compound: 0.9544, neg: 0.059, neu: 0.842, pos: 0.099, 
compound: -0.7906, neg: 0.091, neu: 0.851, pos: 0.058, 
compound: -0.9935, neg: 0.207, neu: 0.75, pos: 0.043, 
compound: -0.8442, neg: 0.126, neu: 0.772, pos: 0.102, 
compound: -0.9454, neg: 0.11, neu: 0.848, pos: 0.041, 
compound: 0.967, neg: 0.023, neu: 0.847, pos: 0.13, 
compound: -0.966, neg: 0.104, neu: 0.836, pos: 0.06, 
compound: 0.926, neg: 0.021, neu: 0.884, pos: 0.095, 
compound: -0.0644, neg: 0.065, neu: 0.866, pos: 0.068, 
compound: -0.6002, neg: 0.054, neu: 0.913, pos: 0.033, 
compound: -0.9699, neg: 0.136, neu: 0.787, pos: 0.077, 
compound: 0.9571, neg: 0.007, neu: 0.892, pos: 0.101, 
compound: 0.138, neg: 0.083, neu: 0.832, pos: 0.085, 
compound: 0.9769, neg: 0.062, neu: 0.813, pos: 0.125, 
compound: -0.7968, neg: 0.134, neu: 0.761, pos: 0.105, 
compound: -0.2023, neg: 0.036, neu: 0.933, pos: 0.031, 
compound: 0.9852, neg: 0.056, neu: 0.799, pos: 0.145, 
compound: 0.9612, neg: 0.026, neu: 0.854, pos: 0.121, 
compound: 0.9788, neg: 0.016, neu: 0.863, pos: 0.121, 
compound: 0.9837, neg: 0.0, neu: 0.752, pos: 0.248, 
compound: 0.8266, neg: 0.076, neu: 0.819, pos: 0.105, 
compound: -0.0541, neg: 0.081, neu: 0.847, pos: 0.072, 
compound: 0.836, neg: 0.057, neu: 0.863, pos: 0.079, 
compound: -0.996, neg: 0.193, neu: 0.783, pos: 0.024, 
compound: 0.9782, neg: 0.052, neu: 0.826, pos: 0.122, 
compound: -0.9337, neg: 0.14, neu: 0.785, pos: 0.076, 
compound: -0.9719, neg: 0.108, neu: 0.825, pos: 0.067, 
compound: -0.9209, neg: 0.11, neu: 0.833, pos: 0.058, 
compound: 0.6412, neg: 0.012, neu: 0.953, pos: 0.035, 
compound: 0.8126, neg: 0.02, neu: 0.913, pos: 0.067, 
compound: 0.9731, neg: 0.049, neu: 0.827, pos: 0.124, 
compound: 0.9491, neg: 0.041, neu: 0.829, pos: 0.129, 
compound: -0.3182, neg: 0.115, neu: 0.778, pos: 0.107, 
compound: 0.9083, neg: 0.052, neu: 0.855, pos: 0.093, 
compound: 0.9885, neg: 0.053, neu: 0.833, pos: 0.113, 
compound: 0.9932, neg: 0.016, neu: 0.804, pos: 0.18, 
compound: -0.2579, neg: 0.032, neu: 0.937, pos: 0.032, 
compound: -0.9895, neg: 0.16, neu: 0.777, pos: 0.063, 
compound: 0.6063, neg: 0.12, neu: 0.731, pos: 0.148, 
compound: 0.9862, neg: 0.018, neu: 0.825, pos: 0.157, 
compound: 0.9959, neg: 0.067, neu: 0.737, pos: 0.196, 
compound: 0.9788, neg: 0.025, neu: 0.831, pos: 0.144, 
compound: 0.9811, neg: 0.05, neu: 0.841, pos: 0.11, 
compound: 0.8807, neg: 0.022, neu: 0.924, pos: 0.054, 
compound: 0.9918, neg: 0.049, neu: 0.819, pos: 0.132, 
compound: 0.4201, neg: 0.067, neu: 0.85, pos: 0.083, 
compound: -0.8866, neg: 0.138, neu: 0.81, pos: 0.052, 
compound: 0.1027, neg: 0.05, neu: 0.898, pos: 0.052, 
compound: 0.7096, neg: 0.048, neu: 0.881, pos: 0.071, 
compound: 0.9926, neg: 0.027, neu: 0.831, pos: 0.141, 
compound: -0.9722, neg: 0.104, neu: 0.837, pos: 0.059, 
compound: 0.9618, neg: 0.048, neu: 0.838, pos: 0.114, 
compound: 0.9275, neg: 0.014, neu: 0.88, pos: 0.106, 
compound: 0.9796, neg: 0.013, neu: 0.903, pos: 0.084, 
compound: 0.9887, neg: 0.04, neu: 0.842, pos: 0.119, 
compound: 0.9851, neg: 0.007, neu: 0.839, pos: 0.154, 
compound: -0.9559, neg: 0.121, neu: 0.818, pos: 0.061, 
compound: 0.9764, neg: 0.042, neu: 0.843, pos: 0.115, 
compound: 0.7841, neg: 0.041, neu: 0.889, pos: 0.07, 
compound: 0.975, neg: 0.043, neu: 0.864, pos: 0.093, 
compound: 0.9505, neg: 0.022, neu: 0.883, pos: 0.094, 
compound: -0.9761, neg: 0.121, neu: 0.84, pos: 0.039, 
compound: -0.4215, neg: 0.076, neu: 0.853, pos: 0.071, 
compound: 0.8111, neg: 0.073, neu: 0.835, pos: 0.092, 
compound: 0.9117, neg: 0.02, neu: 0.92, pos: 0.06, 
compound: -0.9743, neg: 0.103, neu: 0.868, pos: 0.029, 
compound: 0.9852, neg: 0.04, neu: 0.814, pos: 0.146, 
compound: -0.9538, neg: 0.13, neu: 0.849, pos: 0.022, 
compound: 0.6461, neg: 0.057, neu: 0.863, pos: 0.08, 
compound: 0.9945, neg: 0.046, neu: 0.848, pos: 0.106, 
compound: 0.9313, neg: 0.016, neu: 0.89, pos: 0.094, 
compound: -0.5107, neg: 0.061, neu: 0.894, pos: 0.045, 
compound: 0.6535, neg: 0.06, neu: 0.871, pos: 0.069, 
compound: 0.9169, neg: 0.043, neu: 0.879, pos: 0.078, 
compound: 0.8591, neg: 0.048, neu: 0.867, pos: 0.085, 
compound: -0.9527, neg: 0.129, neu: 0.799, pos: 0.072, 
compound: 0.9423, neg: 0.027, neu: 0.903, pos: 0.07, 
compound: 0.8591, neg: 0.038, neu: 0.898, pos: 0.063, 
compound: 0.9481, neg: 0.054, neu: 0.837, pos: 0.109, 
compound: 0.9526, neg: 0.074, neu: 0.8, pos: 0.126, 
compound: -0.9491, neg: 0.127, neu: 0.817, pos: 0.055, 
compound: 0.9186, neg: 0.0, neu: 0.908, pos: 0.092, 
compound: -0.7391, neg: 0.085, neu: 0.846, pos: 0.069, 
compound: -0.6841, neg: 0.095, neu: 0.821, pos: 0.084, 
compound: 0.507, neg: 0.082, neu: 0.813, pos: 0.105, 
compound: 0.6597, neg: 0.078, neu: 0.834, pos: 0.088, 
compound: 0.8674, neg: 0.037, neu: 0.904, pos: 0.059, 
compound: -0.9865, neg: 0.113, neu: 0.849, pos: 0.038, 
compound: 0.992, neg: 0.031, neu: 0.819, pos: 0.151, 
compound: -0.09, neg: 0.023, neu: 0.947, pos: 0.03, 
compound: -0.0676, neg: 0.14, neu: 0.726, pos: 0.135, 
compound: 0.97, neg: 0.024, neu: 0.86, pos: 0.115, 
compound: 0.9545, neg: 0.025, neu: 0.837, pos: 0.139, 
compound: 0.0, neg: 0.025, neu: 0.949, pos: 0.025, 
compound: 0.886, neg: 0.03, neu: 0.895, pos: 0.076, 
compound: 0.9725, neg: 0.079, neu: 0.793, pos: 0.128, 
compound: 0.9577, neg: 0.103, neu: 0.763, pos: 0.134, 
compound: 0.8349, neg: 0.048, neu: 0.873, pos: 0.079, 
compound: 0.9877, neg: 0.034, neu: 0.782, pos: 0.184, 
compound: 0.8176, neg: 0.053, neu: 0.863, pos: 0.084, 
compound: 0.9915, neg: 0.029, neu: 0.82, pos: 0.151, 
compound: 0.984, neg: 0.034, neu: 0.811, pos: 0.155, 
compound: 0.5319, neg: 0.026, neu: 0.914, pos: 0.06, 
compound: -0.9586, neg: 0.076, neu: 0.907, pos: 0.016, 
compound: 0.9662, neg: 0.047, neu: 0.857, pos: 0.096, 
compound: -0.2892, neg: 0.089, neu: 0.829, pos: 0.081, 
