compound: 0.7178, neg: 0.016, neu: 0.932, pos: 0.052, 
compound: 0.9698, neg: 0.02, neu: 0.875, pos: 0.105, 
compound: 0.9705, neg: 0.02, neu: 0.857, pos: 0.123, 
compound: 0.9753, neg: 0.028, neu: 0.806, pos: 0.166, 
compound: 0.3612, neg: 0.028, neu: 0.92, pos: 0.052, 
compound: 0.9985, neg: 0.022, neu: 0.632, pos: 0.346, 
compound: 0.9958, neg: 0.041, neu: 0.754, pos: 0.205, 
compound: 0.9966, neg: 0.03, neu: 0.762, pos: 0.208, 
compound: 0.9676, neg: 0.085, neu: 0.779, pos: 0.136, 
compound: 0.4744, neg: 0.099, neu: 0.777, pos: 0.124, 
compound: 0.9109, neg: 0.0, neu: 0.944, pos: 0.056, 
compound: 0.9898, neg: 0.028, neu: 0.846, pos: 0.126, 
compound: 0.9987, neg: 0.054, neu: 0.708, pos: 0.239, 
compound: 0.9974, neg: 0.03, neu: 0.67, pos: 0.3, 
compound: 0.9947, neg: 0.022, neu: 0.78, pos: 0.198, 
compound: -0.5093, neg: 0.09, neu: 0.82, pos: 0.09, 
compound: 0.9927, neg: 0.018, neu: 0.801, pos: 0.181, 
compound: -0.2732, neg: 0.061, neu: 0.879, pos: 0.06, 
compound: 0.5106, neg: 0.035, neu: 0.904, pos: 0.062, 
compound: 0.9723, neg: 0.046, neu: 0.845, pos: 0.109, 
compound: 0.9853, neg: 0.05, neu: 0.836, pos: 0.114, 
compound: 0.995, neg: 0.033, neu: 0.846, pos: 0.121, 
compound: 0.802, neg: 0.056, neu: 0.871, pos: 0.073, 
compound: 0.998, neg: 0.098, neu: 0.622, pos: 0.28, 
compound: 0.7589, neg: 0.023, neu: 0.919, pos: 0.058, 
compound: 0.9951, neg: 0.007, neu: 0.836, pos: 0.157, 
compound: 0.948, neg: 0.037, neu: 0.873, pos: 0.09, 
compound: 0.7845, neg: 0.037, neu: 0.884, pos: 0.079, 
compound: -0.9776, neg: 0.126, neu: 0.82, pos: 0.053, 
compound: 0.9988, neg: 0.048, neu: 0.573, pos: 0.379, 
compound: -0.7659, neg: 0.08, neu: 0.861, pos: 0.059, 
compound: 0.9729, neg: 0.082, neu: 0.791, pos: 0.127, 
compound: 0.9826, neg: 0.063, neu: 0.796, pos: 0.141, 
compound: 0.9975, neg: 0.039, neu: 0.721, pos: 0.24, 
compound: 0.9789, neg: 0.005, neu: 0.898, pos: 0.097, 
compound: 0.9837, neg: 0.0, neu: 0.859, pos: 0.141, 
compound: -0.9339, neg: 0.086, neu: 0.878, pos: 0.036, 
compound: 0.9977, neg: 0.0, neu: 0.79, pos: 0.21, 
compound: 0.9966, neg: 0.025, neu: 0.801, pos: 0.174, 
compound: 0.9936, neg: 0.026, neu: 0.77, pos: 0.204, 
compound: 0.9612, neg: 0.049, neu: 0.816, pos: 0.135, 
compound: 0.9953, neg: 0.008, neu: 0.721, pos: 0.271, 
compound: 0.9572, neg: 0.081, neu: 0.796, pos: 0.123, 
compound: -0.765, neg: 0.092, neu: 0.829, pos: 0.078, 
compound: 0.9711, neg: 0.04, neu: 0.834, pos: 0.126, 
compound: 0.9451, neg: 0.028, neu: 0.862, pos: 0.11, 
compound: 0.9886, neg: 0.024, neu: 0.798, pos: 0.178, 
compound: 0.8439, neg: 0.071, neu: 0.823, pos: 0.106, 
compound: 0.9578, neg: 0.032, neu: 0.836, pos: 0.132, 
compound: -0.9579, neg: 0.151, neu: 0.774, pos: 0.075, 
compound: 0.9988, neg: 0.007, neu: 0.696, pos: 0.298, 
compound: 0.8876, neg: 0.045, neu: 0.853, pos: 0.102, 
compound: -0.2998, neg: 0.103, neu: 0.781, pos: 0.116, 
compound: -0.7902, neg: 0.084, neu: 0.857, pos: 0.059, 
compound: 0.9953, neg: 0.024, neu: 0.791, pos: 0.184, 
compound: 0.6251, neg: 0.077, neu: 0.832, pos: 0.091, 
compound: -0.9947, neg: 0.225, neu: 0.73, pos: 0.045, 
compound: 0.9711, neg: 0.06, neu: 0.792, pos: 0.148, 
compound: 0.9362, neg: 0.06, neu: 0.823, pos: 0.117, 
compound: -0.4019, neg: 0.082, neu: 0.824, pos: 0.094, 
compound: 0.9972, neg: 0.028, neu: 0.851, pos: 0.121, 
compound: 0.9989, neg: 0.016, neu: 0.62, pos: 0.364, 
compound: 0.9941, neg: 0.021, neu: 0.808, pos: 0.17, 
compound: 0.9977, neg: 0.073, neu: 0.743, pos: 0.184, 
compound: 0.959, neg: 0.034, neu: 0.826, pos: 0.14, 
compound: 0.5927, neg: 0.049, neu: 0.863, pos: 0.088, 
compound: 0.998, neg: 0.02, neu: 0.668, pos: 0.312, 
compound: 0.835, neg: 0.045, neu: 0.856, pos: 0.098, 
compound: 0.9987, neg: 0.007, neu: 0.703, pos: 0.29, 
compound: 0.9974, neg: 0.037, neu: 0.666, pos: 0.297, 
compound: 0.9286, neg: 0.087, neu: 0.78, pos: 0.134, 
compound: 0.7198, neg: 0.053, neu: 0.862, pos: 0.085, 
compound: 0.9801, neg: 0.047, neu: 0.782, pos: 0.17, 
compound: 0.9233, neg: 0.042, neu: 0.852, pos: 0.106, 
compound: 0.9979, neg: 0.049, neu: 0.699, pos: 0.252, 
compound: -0.0253, neg: 0.069, neu: 0.858, pos: 0.073, 
compound: -0.8032, neg: 0.087, neu: 0.838, pos: 0.075, 
compound: 0.9948, neg: 0.027, neu: 0.8, pos: 0.173, 
compound: 0.9882, neg: 0.061, neu: 0.744, pos: 0.195, 
compound: -0.9931, neg: 0.201, neu: 0.77, pos: 0.03, 
compound: 0.9531, neg: 0.008, neu: 0.91, pos: 0.082, 
compound: 0.9966, neg: 0.025, neu: 0.801, pos: 0.174, 
compound: 0.2023, neg: 0.051, neu: 0.875, pos: 0.074, 
compound: 0.9887, neg: 0.0, neu: 0.85, pos: 0.15, 
compound: -0.9602, neg: 0.125, neu: 0.813, pos: 0.063, 
compound: 0.9982, neg: 0.006, neu: 0.755, pos: 0.239, 
compound: 0.9712, neg: 0.009, neu: 0.852, pos: 0.139, 
compound: 0.9233, neg: 0.042, neu: 0.852, pos: 0.106, 
compound: 0.9136, neg: 0.042, neu: 0.838, pos: 0.121, 
compound: 0.9501, neg: 0.067, neu: 0.81, pos: 0.123, 
compound: 0.9968, neg: 0.027, neu: 0.679, pos: 0.294, 
compound: 0.99, neg: 0.013, neu: 0.745, pos: 0.242, 
compound: -0.25, neg: 0.083, neu: 0.835, pos: 0.083, 
compound: 0.6894, neg: 0.075, neu: 0.833, pos: 0.092, 
compound: 0.9997, neg: 0.05, neu: 0.604, pos: 0.345, 
compound: 0.9507, neg: 0.043, neu: 0.847, pos: 0.11, 
compound: 0.9974, neg: 0.042, neu: 0.705, pos: 0.253, 
compound: 0.4588, neg: 0.039, neu: 0.899, pos: 0.063, 
compound: 0.9929, neg: 0.066, neu: 0.702, pos: 0.232, 
compound: 0.7351, neg: 0.045, neu: 0.887, pos: 0.068, 
compound: 0.9631, neg: 0.073, neu: 0.797, pos: 0.13, 
compound: 0.9959, neg: 0.0, neu: 0.753, pos: 0.247, 
compound: 0.9803, neg: 0.019, neu: 0.885, pos: 0.095, 
compound: 0.9118, neg: 0.069, neu: 0.792, pos: 0.139, 
compound: 0.9769, neg: 0.014, neu: 0.873, pos: 0.113, 
compound: 0.8908, neg: 0.092, neu: 0.774, pos: 0.134, 
compound: 0.1027, neg: 0.022, neu: 0.953, pos: 0.025, 
compound: -0.8482, neg: 0.1, neu: 0.821, pos: 0.079, 
compound: 0.9741, neg: 0.038, neu: 0.811, pos: 0.151, 
compound: -0.9953, neg: 0.209, neu: 0.777, pos: 0.013, 
compound: 0.9628, neg: 0.017, neu: 0.876, pos: 0.106, 
compound: 0.8016, neg: 0.035, neu: 0.857, pos: 0.108, 
compound: -0.8889, neg: 0.116, neu: 0.827, pos: 0.057, 
compound: -0.9598, neg: 0.1, neu: 0.878, pos: 0.022, 
compound: -0.8024, neg: 0.097, neu: 0.823, pos: 0.08, 
compound: 0.93, neg: 0.007, neu: 0.926, pos: 0.067, 
compound: 0.4351, neg: 0.032, neu: 0.92, pos: 0.048, 
compound: -0.4215, neg: 0.11, neu: 0.793, pos: 0.097, 
compound: 0.7158, neg: 0.091, neu: 0.811, pos: 0.099, 
compound: 0.992, neg: 0.047, neu: 0.841, pos: 0.112, 
compound: 0.9931, neg: 0.005, neu: 0.837, pos: 0.158, 
compound: 0.9913, neg: 0.086, neu: 0.779, pos: 0.135, 
compound: -0.7184, neg: 0.062, neu: 0.897, pos: 0.041, 
compound: -0.872, neg: 0.073, neu: 0.881, pos: 0.045, 
