compound: 0.983, neg: 0.014, neu: 0.838, pos: 0.148, 
compound: 0.9451, neg: 0.0, neu: 0.895, pos: 0.105, 
compound: 0.4026, neg: 0.057, neu: 0.879, pos: 0.064, 
compound: 0.4005, neg: 0.039, neu: 0.913, pos: 0.048, 
compound: 0.9703, neg: 0.041, neu: 0.804, pos: 0.155, 
compound: 0.9799, neg: 0.059, neu: 0.736, pos: 0.206, 
compound: 0.93, neg: 0.021, neu: 0.848, pos: 0.131, 
compound: -0.3071, neg: 0.081, neu: 0.843, pos: 0.076, 
compound: 0.9972, neg: 0.02, neu: 0.805, pos: 0.176, 
compound: 0.9966, neg: 0.0, neu: 0.759, pos: 0.241, 
compound: 0.8625, neg: 0.048, neu: 0.848, pos: 0.104, 
compound: 0.9927, neg: 0.014, neu: 0.801, pos: 0.184, 
compound: -0.2868, neg: 0.072, neu: 0.851, pos: 0.077, 
compound: 0.9978, neg: 0.022, neu: 0.806, pos: 0.171, 
compound: 0.9718, neg: 0.0, neu: 0.843, pos: 0.157, 
compound: -0.9503, neg: 0.152, neu: 0.761, pos: 0.087, 
compound: -0.0, neg: 0.066, neu: 0.871, pos: 0.063, 
compound: 0.9936, neg: 0.028, neu: 0.781, pos: 0.192, 
compound: 0.8807, neg: 0.06, neu: 0.808, pos: 0.132, 
compound: 0.9927, neg: 0.014, neu: 0.801, pos: 0.184, 
compound: -0.9668, neg: 0.127, neu: 0.834, pos: 0.039, 
compound: 0.9865, neg: 0.014, neu: 0.83, pos: 0.156, 
compound: -0.9406, neg: 0.096, neu: 0.851, pos: 0.053, 
compound: 0.9709, neg: 0.025, neu: 0.839, pos: 0.136, 
compound: 0.9799, neg: 0.011, neu: 0.88, pos: 0.109, 
compound: -0.9846, neg: 0.192, neu: 0.785, pos: 0.023, 
compound: 0.9915, neg: 0.0, neu: 0.787, pos: 0.213, 
compound: 0.9647, neg: 0.087, neu: 0.774, pos: 0.139, 
compound: 0.9758, neg: 0.022, neu: 0.797, pos: 0.182, 
compound: 0.8989, neg: 0.104, neu: 0.775, pos: 0.121, 
compound: 0.6867, neg: 0.088, neu: 0.789, pos: 0.123, 
compound: 0.93, neg: 0.023, neu: 0.888, pos: 0.088, 
compound: -0.9873, neg: 0.155, neu: 0.825, pos: 0.019, 
compound: 0.9988, neg: 0.051, neu: 0.796, pos: 0.153, 
compound: -0.9888, neg: 0.147, neu: 0.827, pos: 0.027, 
compound: 0.643, neg: 0.058, neu: 0.858, pos: 0.084, 
compound: 0.8162, neg: 0.09, neu: 0.791, pos: 0.12, 
compound: 0.9762, neg: 0.104, neu: 0.752, pos: 0.144, 
