compound: 0.9523, neg: 0.028, neu: 0.913, pos: 0.06, 
compound: -0.96, neg: 0.082, neu: 0.886, pos: 0.032, 
compound: 0.431, neg: 0.037, neu: 0.907, pos: 0.055, 
compound: 0.862, neg: 0.034, neu: 0.91, pos: 0.056, 
compound: 0.9983, neg: 0.011, neu: 0.849, pos: 0.14, 
compound: 0.9936, neg: 0.015, neu: 0.888, pos: 0.097, 
compound: -0.8839, neg: 0.11, neu: 0.82, pos: 0.07, 
compound: 0.9186, neg: 0.078, neu: 0.801, pos: 0.121, 
compound: 0.9942, neg: 0.032, neu: 0.878, pos: 0.09, 
compound: 0.958, neg: 0.031, neu: 0.888, pos: 0.081, 
compound: 0.9845, neg: 0.026, neu: 0.888, pos: 0.087, 
compound: 0.9869, neg: 0.013, neu: 0.841, pos: 0.147, 
compound: 0.7906, neg: 0.052, neu: 0.879, pos: 0.07, 
compound: 0.9652, neg: 0.078, neu: 0.766, pos: 0.156, 
compound: -0.9788, neg: 0.146, neu: 0.79, pos: 0.063, 
compound: 0.9879, neg: 0.036, neu: 0.873, pos: 0.091, 
compound: 0.9608, neg: 0.063, neu: 0.838, pos: 0.099, 
compound: 0.9011, neg: 0.0, neu: 0.965, pos: 0.035, 
compound: 0.7409, neg: 0.031, neu: 0.922, pos: 0.046, 
compound: 0.1646, neg: 0.051, neu: 0.887, pos: 0.063, 
compound: -0.9051, neg: 0.078, neu: 0.881, pos: 0.041, 
compound: 0.5574, neg: 0.023, neu: 0.917, pos: 0.061, 
compound: 0.9236, neg: 0.021, neu: 0.926, pos: 0.054, 
compound: 0.6823, neg: 0.025, neu: 0.929, pos: 0.045, 
compound: 0.8271, neg: 0.034, neu: 0.89, pos: 0.076, 
compound: -0.9907, neg: 0.153, neu: 0.806, pos: 0.042, 
compound: -0.9845, neg: 0.105, neu: 0.865, pos: 0.031, 
compound: 0.9901, neg: 0.012, neu: 0.878, pos: 0.11, 
compound: -0.669, neg: 0.082, neu: 0.856, pos: 0.063, 
compound: -0.6174, neg: 0.099, neu: 0.814, pos: 0.086, 
compound: 0.9985, neg: 0.049, neu: 0.795, pos: 0.156, 
compound: 0.9489, neg: 0.024, neu: 0.93, pos: 0.045, 
compound: 0.9633, neg: 0.037, neu: 0.867, pos: 0.097, 
compound: 0.8495, neg: 0.095, neu: 0.791, pos: 0.114, 
compound: -0.8797, neg: 0.107, neu: 0.804, pos: 0.089, 
